1,10
2,20
3,0.9% NaCl Saline
4,0.9% Sodium Chloride
5,0.9% Sodium Chloride
6,0.9% Sodium Chloride
7,0.9% Sodium Chloride
8,03 Soft Gelatin Capsule
9,1stCef    500
10,2FEC (R150H75)
11,2ndCef    250
12,3 Bion
13,3 F    500
14,3-B
15,3-C 400
16,3-F
17,3-F 750
18,3-Geocef    200
19,3rd Cef
20,3rd Cef    200
21,3rd Cef    400
22,4-C 1 gm/Vial IV/IM
23,4-C 2gm/Vial IV/IM
24,4-C 500mg/Vial IV/IM
25,4FDC (R150H75)
26,5X
27,6 Apa
28,A B1    100
29,A Ben  DS  400
30,A Cal    500
31,A Cal   Chewable 250
32,A Card    20
33,A Card  SR  50
34,A Care
35,A Clox
36,A Clox
37,A Clox    250
38,A Clox    500
39,A Cold
40,A Crom    2%
41,A Fenac
42,A Fenac    12.5
43,A Fenac    25
44,A Fenac    50
45,A Fenac    50
46,A Fenac   PLUS
47,A Fenac  SR  100
48,A Fenac K   50
49,A Flox
50,A Flox    250
51,A Flox    250
52,A Flox    500
53,A Flox    500
54,A Forte
55,A FORTE    5000 IU
56,A Mycin
57,A Mycin
58,A Mycin
59,A Mycin    250
60,A Mycin    500
61,A Mycin  DS
62,A Phenicol
63,A Phenicol
64,A Plex
65,A Plex
66,A Plex
67,A Rifam    150
68,A Rifam    450
69,A Rox
70,A Rox    150
71,A Rox    300
72,A S A    300
73,A Spasm
74,A Tetra    1%
75,A Tetra    250
76,A Tetra    500
77,A Tetra    500
78,A TH
79,A TH    250
80,A TH    500
81,A Tropin
82,A vastrol 20 Tablet
83,A Vit    1 LAC
84,A Vit    2 LAC
85,A Zide
86,A Zyme
87,A.S.A  CV  75
88,Ab Flu    500
89,Abac
90,Abac
91,Abac    500
92,Abaclor
93,Abaclor
94,Abaclor 250
95,Abaclor 375 ER
96,Abaclor 500
97,Abandi
98,Abcliz
99,Abdopen    10
100,Abdorin
101,Abdorin
102,AB-DS
103,Abecab 5/20
104,Abecab 5/40
105,Abentel    400
106,Abetis
107,Abetis    20
108,Abetis    40
109,Abetis Plus
110,Abetis Plus 40
111,Abiret
112,Abiron
113,Abiron
114,Abixa
115,Aboprost
116,Aboxitin    1 gm
117,Aboxyl
118,Aboxyl    500
119,ABpres
120,Absi
121,Absol
122,Ac  PR
123,AC PR SR Tablet
124,A-Cal D
125,A-Cal DX
126,Acaltrol IV
127,Acarbose    100
128,Acarbose    50
129,Acaril
130,Accurate
131,Acd Blood Bag
132,Ace
133,Ace
134,Ace
135,Ace
136,Ace
137,Ace
138,Ace    125
139,Ace    250
140,Ace    500
141,Ace    60
142,Ace   PLUS
143,Ace   PLUS
144,Ace  DT  120
145,ACE ER
146,Ace IV Infusion
147,Ace Plus
148,Ace Power
149,Ace XR
150,Acebid
151,Acecard
152,Acecard 1.25
153,Acecard 2.5
154,Aceclocil 100 mg
155,Aceclof
156,Aceclofar
157,Aceclofen
158,Aceclofenac
159,Aceclofenac SR
160,Aceclora
161,Acecol
162,Acedol
163,Acedol SR
164,Acedone Z
165,Acedone Z
166,Acedone Z Plus
167,Acedone-Z Plus
168,Acefenac
169,Acefra
170,Acefra    500
171,Acelex
172,Acelex
173,Acelex    250
174,Acelex    500
175,Acelock
176,Acemox
177,Acenac
178,Acenopan 100
179,Aceon    2.5
180,Aceon    5
181,Acep
182,Acep
183,Acep
184,Acep Extra
185,Acepril-10
186,Acepril-5
187,ACEPRO
188,Aceptin-R
189,Aceptin-R
190,Aceril 2.5
191,Aceril 5
192,Aceron
193,Acerux
194,Acerux
195,Acerux
196,Acerux 200
197,Acerux 250
198,Acerux 400
199,Acerux 500 mg
200,Acerux 800 mg
201,Acerux-H
202,Aces   PLUS
203,Aceta
204,Aceta
205,Aceta    500
206,Aceta Extend
207,Acetaminophen
208,Aceta-T
209,Acetor    25
210,Acetram
211,ACF
212,Acflam
213,AC-Fol
214,Achilon
215,Achnil
216,ACI ORS
217,ACI ORS Fruity
218,ACI_ORS Effervescent
219,Acicaft
220,Acical    500
221,Acical D
222,Acical Jr. Chewable Tablet
223,Acical M
224,Acical-C
225,Acical-CX Effervescent
226,Acical-MX Effervescent Tablet
227,Aciclon
228,Acicot
229,Acicox    100
230,Acidax
231,Acidax
232,Acidex 20
233,Acidrox
234,Acidrox M
235,Acidrox Plus
236,ACIFIX
237,Acifix
238,Acifix 10
239,Aciflox    200
240,Acilog Biopen
241,Acimox Vet
242,Acin
243,Acin    150
244,Acin    300
245,Acinil
246,Acinil
247,Acipam-10
248,Acipam-5
249,Aciphin  IM  1 gm
250,Aciphin  IM  250 mg
251,Aciphin  IM  500 mg
252,Aciphin  IV  1 gm
253,Aciphin  IV  2 gm
254,Aciphin  IV  250 mg
255,Aciphin  IV  500 mg
256,Acipra 20
257,Aciprin  CV  75
258,Acira
259,Acira
260,Acirux
261,Acitrin
262,Acitrin
263,Acitrin
264,Acitrin    10
265,Acitrin-L
266,Acitrin-L
267,Acivir
268,Acivir 200
269,Acivir 400
270,A-Clam    50
271,Aclav
272,Aclav 375
273,Aclav 625
274,Aclene
275,Aclene Plus Gel
276,Acliz
277,Acliz   PLUS
278,Aclo
279,Aclobet
280,Aclobet
281,Aclobet-N
282,Aclobet-N
283,Aclocin    1%
284,Aclonac
285,Aclopain
286,Aclosol
287,Acmecilin
288,Acmecilin    250
289,Acmecilin    250
290,Acmecilin    500
291,Acmegra 100
292,Acmegra 25
293,Acmegra 50
294,Acme's Cholera Saline
295,Acme's Dextrose
296,Acme's Dextrose 25%
297,Acme's Dextrose DS
298,Acme's Dextrose-N Saline
299,Acme's Fructose 10
300,Acme's Hartmann Solution
301,Acme's Mannitol 20
302,Acme's Milk of Magnesia Plus
303,Acme's Milk Of Magnesium
304,Acme's Normal Saline
305,Acme's ORS
306,Acme'S Water For Injection
307,ACN
308,Acnecare Gel
309,Acnegel
310,Acnesone Gel
311,Acnetrin
312,Acnezac
313,A-Cof Syrup
314,Acora 90
315,Acorex
316,Acorex
317,Acos
318,Acos 250
319,Acos 500
320,Acos 500mg
321,Acreocep    500
322,Acron
323,Acryth
324,Acryth 500
325,Acsol
326,Act
327,Act
328,Act
329,Acta X
330,Actidex
331,Actifast
332,Actilac
333,Actinase
334,Actinase    500
335,Actine    5
336,Actinion
337,Actisal
338,Actisal    1
339,Actisal    2
340,Activa 100
341,Activa 25
342,Activa 50
343,Active   PLUS
344,Activit
345,Activit   GOLD
346,Activit   SILVER
347,Activit  ZI
348,Activit B
349,Activit Z
350,Actizen
351,Actizen    10
352,Actol
353,Actol
354,Actolin
355,Actolin    4
356,Actomeg    500
357,Actomeg    850
358,Actose    15
359,Actrim
360,Actrim
361,Actrim
362,Actrim
363,Actulose
364,Acubis 2.5
365,Acubis 5
366,ACUDI CAPSULE
367,Acudipin
368,Acudipin Plus
369,Acumet 100
370,Acumet 50
371,Acunac
372,Acupain    10
373,Acupain    10
374,Acupain    30 mg
375,Acuren    25
